;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.0008418882281003242;599.0;111.703;0.951851851851852
std;2.9213837061606083;0.8304547985373997;0.00013314174225656793;0.0;5.277093733852192;0.04997516056764485
min;1.0;1.0;0.0006119204871283997;599.0;105.65;0.8333333333333334
25%;3.0;1.0;0.0007421446469338788;599.0;106.58;0.9444444444444444
50%;5.5;2.0;0.0008403677408594498;599.0;111.63;0.9444444444444444
75%;8.0;3.0;0.0009061707159981976;599.0;116.18;1.0
max;10.0;3.0;0.0011701918549304829;599.0;123.13;1.0
