;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.0006775937383954193;598.5333333333333;189.6;0.9574074074074074
std;2.9213837061606083;0.8304547985373997;0.00010173493491950246;2.37419072721536;5.3063072424921005;0.04044066898858925
min;1.0;1.0;0.0005086039897912875;586.0;183.8;0.8888888888888888
25%;3.0;1.0;0.0006078159475120121;599.0;187.33250000000004;0.9444444444444444
50%;5.5;2.0;0.0006728257170525095;599.0;187.85;0.9444444444444444
75%;8.0;3.0;0.0007459883904663351;599.0;189.04749999999999;1.0
max;10.0;3.0;0.0008802255085450222;599.0;212.48;1.0
