;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0007465511745572903;599;190.99;1.0
1;1;2;0.0006342240280815115;599;191.66;1.0
2;1;3;0.0006921069171396145;599;201.37;1.0
3;2;1;0.0008020055477812757;599;194.64;0.9444444444444444
4;2;2;0.0006941841577273441;599;212.48;0.9444444444444444
5;2;3;0.0007536935906931716;599;189.18;0.9444444444444444
6;3;1;0.0007198431719780415;599;188.49;0.9444444444444444
7;3;2;0.0007958715509414021;599;189.24;0.9444444444444444
8;3;3;0.0006597604847519255;599;188.37;0.9444444444444444
9;4;1;0.0008613429548054789;599;188.35;0.9444444444444444
10;4;2;0.0007245516076157319;599;187.64;0.9444444444444444
11;4;3;0.0007314175131015731;599;186.76;0.9444444444444444
12;5;1;0.0006699296810825838;599;188.11;0.8888888888888888
13;5;2;0.0006147400363238579;599;187.43;0.8888888888888888
14;5;3;0.0006095825066726008;599;187.17;0.8888888888888888
15;6;1;0.0005584881426681531;599;187.72;0.9444444444444444
16;6;2;0.0005291038626581341;599;187.6;0.9444444444444444
17;6;3;0.0005271412867454734;598;187.67;0.9444444444444444
18;7;1;0.000586481564723013;599;188.65;1.0
19;7;2;0.0005086039897912875;586;183.8;1.0
20;7;3;0.0005672159751112818;599;187.85;1.0
21;8;1;0.0006072270944584826;599;187.24;0.8888888888888888
22;8;2;0.0005555978706635263;599;187.75;0.8888888888888888
23;8;3;0.0006482715233098408;599;187.3;0.9444444444444444
24;9;1;0.0006245423303132375;599;187.25;1.0
25;9;2;0.0008009112540888996;599;187.2;1.0
26;9;3;0.0006757217530224353;599;187.17;1.0
27;10;1;0.0008802255085450222;599;187.85;1.0
28;10;2;0.0008041750343169175;599;188.48;1.0
29;10;3;0.0007443000381934694;599;192.59;1.0
