;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0012934912026461801;599;83.55;1.0
1;1;2;0.0011224914560076997;599;99.19;1.0
2;1;3;0.001115923388509298;599;84.16;1.0
3;2;1;0.0013305055281829642;599;75.0;0.9444444444444444
4;2;2;0.0012560374730720622;599;75.18;0.9444444444444444
5;2;3;0.0013835888494646185;599;74.62;0.9444444444444444
6;3;1;0.001516875045368704;599;74.69;0.9444444444444444
7;3;2;0.0013355919431663412;599;77.85;0.9444444444444444
8;3;3;0.0014837491081298058;599;100.59;1.0
9;4;1;0.0012847141720636736;599;75.51;0.9444444444444444
10;4;2;0.0015022458487599555;599;75.58;0.9444444444444444
11;4;3;0.0014453746928079023;599;76.36;0.9444444444444444
12;5;1;0.0013390435591082324;599;74.71;0.8888888888888888
13;5;2;0.0010109037145656192;599;74.85;0.8888888888888888
14;5;3;0.0009281605628811535;599;74.76;0.8888888888888888
15;6;1;0.0008884028546621969;599;74.69;0.9444444444444444
16;6;2;0.0008941118738801567;599;74.6;0.9444444444444444
17;6;3;0.0009685124739983705;599;75.02;0.9444444444444444
18;7;1;0.0009806968990238591;599;75.01;1.0
19;7;2;0.0010574778143472607;599;75.12;1.0
20;7;3;0.0009571131444508891;599;74.74;1.0
21;8;1;0.000957478112334753;599;74.92;0.8888888888888888
22;8;2;0.0009610952707104117;599;73.31;0.7777777777777778
23;8;3;0.0011626709038171567;599;73.76;0.8333333333333334
24;9;1;0.0011641777571540213;599;73.31;1.0
25;9;2;0.0013657814608831406;599;72.67;1.0
26;9;3;0.0011895650723004769;599;73.94;0.9444444444444444
27;10;1;0.0012582416798934478;599;73.23;1.0
28;10;2;0.0014243664061935736;599;73.47;1.0
29;10;3;0.0012209641850988908;599;74.84;1.0
