;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.0007595967640288792;599.0;140.14133333333334;0.9555555555555553
std;2.9213837061606083;0.8304547985373997;0.00014248033292036218;0.0;9.592778078553044;0.042284688617077085
min;1.0;1.0;0.0005583188069571203;599.0;127.36;0.8333333333333334
25%;3.0;1.0;0.000646828638299401;599.0;129.485;0.9444444444444444
50%;5.5;2.0;0.000735589414223029;599.0;142.235;0.9444444444444444
75%;8.0;3.0;0.0008565963436748733;599.0;148.9325;1.0
max;10.0;3.0;0.0010674095593072453;599.0;156.45;1.0
