;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.000972141276313521;599.0;112.05566666666665;0.9481481481481482
std;2.9213837061606083;0.8304547985373997;0.0005381696516949506;0.0;26.301909027782514;0.0634829404137073
min;1.0;1.0;0.000522177686973974;599.0;95.04;0.7777777777777778
25%;3.0;1.0;0.00065378543173056;599.0;96.9625;0.9444444444444444
50%;5.5;2.0;0.0008475264867947314;599.0;97.9;0.9444444444444444
75%;8.0;3.0;0.0009427166214452332;599.0;108.43;1.0
max;10.0;3.0;0.002694223140565082;599.0;170.3;1.0
