;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.001193311748449427;599.0;76.97433333333333;0.95
std;2.9213837061606083;0.8304547985373997;0.00019769062141787732;0.0;6.7229020228763865;0.055267452201834655
min;1.0;1.0;0.0008884028546621969;599.0;72.67;0.7777777777777778
25%;3.0;1.0;0.000988248602909299;599.0;74.60499999999999;0.9444444444444444
50%;5.5;2.0;0.0012052646286996838;599.0;74.845;0.9444444444444444
75%;8.0;3.0;0.0013381806551227594;599.0;75.42750000000001;1.0
max;10.0;3.0;0.001516875045368704;599.0;100.59;1.0
