;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.0006467175897855568;599;135.17;0.9444444444444444
1;1;2;0.0006589385149220005;599;131.25;1.0
2;1;3;0.0006928278101730583;599;137.66;1.0
3;2;1;0.0010311498426752116;599;132.21;1.0
4;2;2;0.001052998536171013;599;130.94;1.0
5;2;3;0.0008381929469711483;599;150.38;1.0
6;3;1;0.0007995269444920897;599;149.65;0.9444444444444444
7;3;2;0.000718091237619964;599;140.83;1.0
8;3;3;0.0008613026177151813;599;128.63;0.9444444444444444
9;4;1;0.0009079280176649274;599;127.88;1.0
10;4;2;0.0008589672475235876;599;127.36;0.9444444444444444
11;4;3;0.0008494836321287303;599;128.09;1.0
12;5;1;0.0010674095593072453;599;129.0;0.9444444444444444
13;5;2;0.0008855546043397612;599;128.09;0.9444444444444444
14;5;3;0.0008604268267656741;599;128.14;0.9444444444444444
15;6;1;0.0007935109584271687;599;128.86;0.9444444444444444
16;6;2;0.0008471762964555826;599;143.64;0.9444444444444444
17;6;3;0.000753087590826094;599;144.18;0.9444444444444444
18;7;1;0.0006149230051414975;599;151.49;1.0
19;7;2;0.0006382106676378383;599;144.77;1.0
20;7;3;0.000623970809860511;599;149.28;1.0
21;8;1;0.0007537630012664657;599;147.89;0.8888888888888888
22;8;2;0.0006924296827207825;599;150.19;0.9444444444444444
23;8;3;0.0006630058305930021;599;140.35;0.8888888888888888
24;9;1;0.0005910209315316012;599;151.28;0.9444444444444444
25;9;2;0.0006471617838409335;599;153.27;0.9444444444444444
26;9;3;0.0007001687947057098;599;145.13;0.9444444444444444
27;10;1;0.0006233194927608577;599;145.12;0.8333333333333334
28;10;2;0.0005583193398860642;599;147.06;0.9444444444444444
29;10;3;0.0005583188069571203;599;156.45;0.8888888888888888
