;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.05506655909108579;599;26.4;0.9333333333333333
1;1;2;0.056098853916427244;599;26.37;0.9333333333333333
2;1;3;0.05494156845941471;599;26.53;0.9333333333333333
3;2;1;0.057982553677271856;599;26.52;0.8666666666666667
4;2;2;0.058314949996589815;599;26.45;0.8666666666666667
5;2;3;0.051634986778682654;599;26.43;0.8666666666666667
6;3;1;0.05315540386946222;599;26.46;0.9333333333333333
7;3;2;0.05349968852453428;599;26.52;0.9333333333333333
8;3;3;0.0644045441215431;599;26.57;0.9333333333333333
9;4;1;0.05428747988158516;599;26.5;0.9333333333333333
10;4;2;0.05360160380604595;599;26.47;0.9333333333333333
11;4;3;0.055813787369241835;599;26.61;0.9333333333333333
12;5;1;0.05807765736164869;599;26.65;0.9333333333333333
13;5;2;0.0588961896526513;599;26.59;0.9333333333333333
14;5;3;0.05767732539262269;599;26.59;0.9333333333333333
15;6;1;0.04888016363543247;599;26.49;0.9333333333333333
16;6;2;0.04948388882533181;599;26.51;0.9333333333333333
17;6;3;0.049272925927027963;599;26.45;0.9333333333333333
18;7;1;0.053227436475855025;599;26.68;0.9333333333333333
19;7;2;0.054476452300953916;599;26.46;0.9333333333333333
20;7;3;0.05347882738392689;599;26.55;0.9333333333333333
21;8;1;0.06032331043049048;599;29.48;0.9333333333333333
22;8;2;0.05989284330620002;599;30.29;0.9333333333333333
23;8;3;0.05967671023008706;599;27.17;0.9333333333333333
24;9;1;0.06323845045515113;599;26.7;0.9333333333333333
25;9;2;0.06127631470161021;599;26.83;0.9333333333333333
26;9;3;0.0660513334860389;599;26.34;0.9333333333333333
27;10;1;0.06113135848146562;599;26.38;1.0
28;10;2;0.06009682347477379;599;26.41;1.0
29;10;3;0.06387626922246926;599;26.43;1.0
