;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.025872611270955925;599.0;38.53900000000001;0.9622222222222222
std;2.9213837061606083;0.8304547985373997;0.00586657877323728;0.0;3.102482154218034;0.04526070359495752
min;1.0;1.0;0.011700231730255535;599.0;36.61;0.8666666666666667
25%;3.0;1.0;0.023095389211809612;599.0;36.7525;0.9333333333333333
50%;5.5;2.0;0.02629550349308059;599.0;36.855000000000004;1.0
75%;8.0;3.0;0.028944105346245273;599.0;38.74;1.0
max;10.0;3.0;0.0373228174131446;599.0;45.98;1.0
