;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.22015591866375372;599;22.5;0.6666666666666666
1;1;2;0.22011021936857897;599;21.75;0.6666666666666666
2;1;3;0.22008457835130957;599;21.55;0.6666666666666666
3;2;1;0.20383457812215347;599;24.43;0.5333333333333333
4;2;2;0.22240878804361458;599;23.99;0.6666666666666666
5;2;3;0.22241106441177078;599;23.79;0.6666666666666666
6;3;1;0.23166735426401272;599;24.1;0.6666666666666666
7;3;2;0.22307020458929946;599;23.77;0.6666666666666666
8;3;3;0.22215892293849773;599;25.29;0.6666666666666666
9;4;1;0.23849838977907814;599;22.35;0.6
10;4;2;0.21969980361619598;599;23.25;0.6666666666666666
11;4;3;0.21975663856870878;599;21.95;0.6666666666666666
12;5;1;0.2121256132768983;599;21.84;0.6666666666666666
13;5;2;0.21200819647574584;599;22.9;0.3333333333333333
14;5;3;0.22051462020068704;599;21.5;0.6666666666666666
15;6;1;0.23460327785156243;599;21.94;0.6
16;6;2;0.22082296835621903;599;22.22;0.6666666666666666
17;6;3;0.22811365296714337;599;22.69;0.6
18;7;1;0.21911758231158132;599;21.97;0.6
19;7;2;0.22251899221252963;599;21.84;0.6666666666666666
20;7;3;0.22659864229193624;599;23.42;0.6
21;8;1;0.22670027406676893;599;22.61;0.6
22;8;2;0.23153595506865862;599;21.69;0.6
23;8;3;0.22377368693816438;599;22.13;0.6666666666666666
24;9;1;0.23794362582700418;599;21.86;0.6
25;9;2;0.22382895619790308;599;22.0;0.6666666666666666
26;9;3;0.23284419419715902;599;22.13;0.6
27;10;1;0.22149200577758726;599;21.82;0.6666666666666666
28;10;2;0.2213148938815471;599;21.66;0.6666666666666666
29;10;3;0.22127101320286802;599;22.31;0.6666666666666666
