;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.04021213668306052;599.0;42.33466666666666;0.957777777777778
std;2.9213837061606083;0.8304547985373997;0.0061977988395617864;0.0;2.8340001378985846;0.05391445852276844
min;1.0;1.0;0.02610448346350382;599.0;39.7;0.8666666666666667
25%;3.0;1.0;0.03728106733575982;599.0;40.3125;0.9333333333333333
50%;5.5;2.0;0.04031536707976202;599.0;40.870000000000005;1.0
75%;8.0;3.0;0.0436762018062109;599.0;43.875;1.0
max;10.0;3.0;0.055072266077102285;599.0;49.62;1.0
