;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.046142150924154315;599.0;33.943999999999996;0.9400000000000001
std;2.9213837061606083;0.8304547985373997;0.006751201344219929;0.0;2.103751329214652;0.03651483716701106
min;1.0;1.0;0.03345883560355765;599.0;30.97;0.8666666666666667
25%;3.0;1.0;0.04335328650045322;599.0;31.722499999999997;0.9333333333333333
50%;5.5;2.0;0.04561106969539843;599.0;34.025000000000006;0.9333333333333333
75%;8.0;3.0;0.04845589679759005;599.0;35.705;0.9333333333333333
max;10.0;3.0;0.06383036341946782;599.0;37.48;1.0
