;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.04129620164872086;599;40.23;1.0
1;1;2;0.04244434778528686;599;40.72;1.0
2;1;3;0.041591923701788124;599;40.58;1.0
3;2;1;0.039481286852553955;599;40.65;1.0
4;2;2;0.040437041200649754;599;40.44;1.0
5;2;3;0.04019369295887428;599;40.46;0.9333333333333333
6;3;1;0.04010799286450437;599;47.59;0.9333333333333333
7;3;2;0.044821808049734686;599;49.62;0.9333333333333333
8;3;3;0.04105694642647682;599;40.59;0.9333333333333333
9;4;1;0.03696890339645664;599;42.0;0.9333333333333333
10;4;2;0.038217559153669346;599;39.82;0.9333333333333333
11;4;3;0.03673841218028596;599;39.7;0.9333333333333333
12;5;1;0.04942253015009669;599;39.87;1.0
13;5;2;0.04461938301991671;599;40.27;1.0
14;5;3;0.055072266077102285;599;40.13;1.0
15;6;1;0.032233357527721135;599;43.33;1.0
16;6;2;0.0339906467271092;599;41.44;1.0
17;6;3;0.03395849966001944;599;40.48;1.0
18;7;1;0.028247438713626113;599;41.02;0.8666666666666667
19;7;2;0.02610448346350382;599;39.96;0.8666666666666667
20;7;3;0.03150698370722346;599;41.42;0.8666666666666667
21;8;1;0.04945675396849236;599;39.91;1.0
22;8;2;0.045989259351703456;599;44.04;1.0
23;8;3;0.04500204450342127;599;43.38;1.0
24;9;1;0.04376098836527547;599;44.49;0.8666666666666667
25;9;2;0.03894955762884301;599;45.98;0.8666666666666667
26;9;3;0.039801364509126254;599;44.31;0.8666666666666667
27;10;1;0.04342184212901721;599;42.54;1.0
28;10;2;0.03911011867518837;599;46.74;1.0
29;10;3;0.042360466095427776;599;48.33;1.0
