;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.2233661537272979;599.0;22.574999999999996;0.6311111111111111
std;2.9213837061606083;0.8304547985373997;0.007384899562004473;0.0;0.9850984547329475;0.06720092439916411
min;1.0;1.0;0.20383457812215347;599.0;21.5;0.3333333333333333
25%;3.0;1.0;0.22012164419237265;599.0;21.845;0.6
50%;5.5;2.0;0.22228385549105617;599.0;22.174999999999997;0.6666666666666666
75%;8.0;3.0;0.22667486612306076;599.0;23.1625;0.6666666666666666
max;10.0;3.0;0.23849838977907814;599.0;25.29;0.6666666666666666
