;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.056927875341187394;599.0;26.761;0.9333333333333335
std;2.9213837061606083;0.8304547985373997;0.004557225127423791;0.0;0.8706927483727915;0.03032392174315613
min;1.0;1.0;0.04888016363543247;599.0;26.34;0.8666666666666667
25%;3.0;1.0;0.053525167344912195;599.0;26.45;0.9333333333333333
50%;5.5;2.0;0.056888089654524965;599.0;26.515;0.9333333333333333
75%;8.0;3.0;0.060045828432630344;599.0;26.605;0.9333333333333333
max;10.0;3.0;0.0660513334860389;599.0;30.29;1.0
