;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.5585263356714345;599.0;1171.8930000000003;0.6168854173202001
std;2.9213837061606083;0.8304547985373997;0.04857877350266604;0.0;112.07229397534678;0.10769149458259944
min;1.0;1.0;0.46892336822404124;599.0;1109.76;0.43478260869565216
25%;3.0;1.0;0.5283056299997744;599.0;1118.6625;0.5317460317460319
50%;5.5;2.0;0.5586648000383376;599.0;1139.29;0.6225296442687747
75%;8.0;3.0;0.5891748650893651;599.0;1189.1725000000001;0.6818181818181818
max;10.0;3.0;0.6927914557927524;599.0;1717.99;0.85
