;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.00140423914176622;599.0;335.1476666666667;0.9703703703703701
std;2.9213837061606083;0.8304547985373997;0.00019744809763073436;0.0;42.01452472028292;0.04997516056764485
min;1.0;1.0;0.0010526020242242046;599.0;314.57;0.8333333333333334
25%;3.0;1.0;0.001209574854724301;599.0;317.565;0.9444444444444444
50%;5.5;2.0;0.0014395262008894266;599.0;320.20000000000005;1.0
75%;8.0;3.0;0.0015315295429469528;599.0;329.4175;1.0
max;10.0;3.0;0.0017381062339989865;599.0;505.37;1.0
