;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.0774872472192624;599.0;74.38133333333332;0.9111111111111113
std;2.9213837061606083;0.8304547985373997;0.06521512010545018;0.0;21.75051322951085;0.09642392563832108
min;1.0;1.0;0.023673741241238982;599.0;54.85;0.6666666666666666
25%;3.0;1.0;0.03551374999807695;599.0;56.035000000000004;0.9333333333333333
50%;5.5;2.0;0.04555135403019606;599.0;62.41;0.9333333333333333
75%;8.0;3.0;0.08999855365472323;599.0;98.5125;0.9833333333333334
max;10.0;3.0;0.25305176119128864;599.0;107.8;1.0
