;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.7543052478359397;599.0;138.71033333333335;0.5594202898550724
std;2.9213837061606083;0.8304547985373997;0.10275327909937765;0.0;2.428684166706161;0.09043516703105163
min;1.0;1.0;0.5777076423636518;599.0;130.87;0.391304347826087
25%;3.0;1.0;0.6595521406082367;599.0;139.1;0.48913043478260876
50%;5.5;2.0;0.7541325712703042;599.0;139.34;0.5652173913043478
75%;8.0;3.0;0.8285807642520161;599.0;139.57;0.6086956521739131
max;10.0;3.0;0.9770824449902514;599.0;141.09;0.7391304347826086
