;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.28215526828778387;599.0;692.1876666666667;0.5971014492753625
std;2.9213837061606083;0.8304547985373997;0.06887460599628017;0.0;97.6346341065835;0.12813226766709854
min;1.0;1.0;0.1746989662894593;599.0;646.49;0.34782608695652173
25%;3.0;1.0;0.23833163757610834;599.0;651.9575;0.4782608695652174
50%;5.5;2.0;0.28047655403081156;599.0;654.7750000000001;0.6304347826086957
75%;8.0;3.0;0.3112881897760206;599.0;694.2074999999999;0.6847826086956521
max;10.0;3.0;0.5007717671424837;599.0;1173.66;0.8260869565217391
