;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.5490876364993355;599;343.76;0.6956521739130435
1;1;2;0.4706079355121737;599;342.85;0.6521739130434783
2;1;3;0.579442543785005;599;343.8;0.7391304347826086
3;2;1;0.6652711827445844;599;342.47;0.4782608695652174
4;2;2;0.5985896817428291;599;286.36;0.5217391304347826
5;2;3;0.6128845713608998;599;186.69;0.6086956521739131
6;3;1;0.4469934601057202;599;186.69;0.4782608695652174
7;3;2;0.48924064665345873;599;188.81;0.6086956521739131
8;3;3;0.5211352943423828;599;189.54;0.34782608695652173
9;4;1;0.6205844286791583;599;193.54;0.5652173913043478
10;4;2;0.5201189458364367;599;193.78;0.4782608695652174
11;4;3;0.5403648016885578;599;193.54;0.391304347826087
12;5;1;0.5763197517443445;599;205.07;0.43478260869565216
13;5;2;0.578214153701655;599;192.21;0.5652173913043478
14;5;3;0.7160642578123461;599;256.54;0.391304347826087
15;6;1;0.4546693702691145;599;261.47;0.43478260869565216
16;6;2;0.5201532327658421;599;231.2;0.34782608695652173
17;6;3;0.5632111447872487;599;268.78;0.4782608695652174
18;7;1;0.5121216516971133;599;259.59;0.6086956521739131
19;7;2;0.6609110845583758;599;274.77;0.5652173913043478
20;7;3;0.6265251731730251;599;342.0;0.6086956521739131
21;8;1;0.4826925406440865;599;339.04;0.6086956521739131
22;8;2;0.45970223133014276;599;339.87;0.5652173913043478
23;8;3;0.6204267563145252;599;337.98;0.6086956521739131
24;9;1;0.5615830475596715;599;234.46;0.5217391304347826
25;9;2;0.5294428977419502;599;185.32;0.5652173913043478
26;9;3;0.42010104687807065;599;185.09;0.5652173913043478
27;10;1;0.5322249413852385;599;185.34;0.6956521739130435
28;10;2;0.5687232333453073;599;185.28;0.5652173913043478
29;10;3;0.5753980693815465;599;185.55;0.6086956521739131
