;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.34372760099386146;599.0;335.18233333333325;0.5768115942028985
std;2.9213837061606083;0.8304547985373997;0.0641669750533537;0.0;0.996229731618631;0.11640337995821938
min;1.0;1.0;0.21792615552030245;599.0;333.33;0.34782608695652173
25%;3.0;1.0;0.3002598449498896;599.0;334.6425;0.48913043478260876
50%;5.5;2.0;0.329199592748722;599.0;335.05;0.6086956521739131
75%;8.0;3.0;0.39340749964597643;599.0;335.2825;0.6521739130434783
max;10.0;3.0;0.46232075404281453;599.0;337.68;0.8260869565217391
