;Fold;Execution;MSE;Epochs;Time;Accuracy
0;1;1;0.33334609822355343;599;337.56;0.6956521739130435
1;1;2;0.2501149560390272;599;337.68;0.6956521739130435
2;1;3;0.2720526295496307;599;337.67;0.8260869565217391
3;2;1;0.43689844523547416;599;334.08;0.5217391304347826
4;2;2;0.4610858965599493;599;334.93;0.5217391304347826
5;2;3;0.46232075404281453;599;334.92;0.6086956521739131
6;3;1;0.21792615552030245;599;334.9;0.391304347826087
7;3;2;0.23207985611192306;599;334.25;0.5217391304347826
8;3;3;0.2938698919584284;599;334.59;0.5217391304347826
9;4;1;0.3137431638824427;599;334.25;0.4782608695652174
10;4;2;0.2968243403359536;599;335.06;0.4782608695652174
11;4;3;0.3250530872738906;599;334.71;0.4782608695652174
12;5;1;0.39483534048436586;599;335.17;0.6086956521739131
13;5;2;0.31719576236615804;599;336.49;0.5217391304347826
14;5;3;0.4058555799187359;599;335.16;0.5217391304347826
15;6;1;0.3531544238332812;599;335.04;0.34782608695652173
16;6;2;0.31087068767037784;599;334.44;0.391304347826087
17;6;3;0.3105663587916976;599;335.16;0.43478260869565216
18;7;1;0.4079776954630884;599;335.43;0.6086956521739131
19;7;2;0.3763703763640974;599;335.37;0.6086956521739131
20;7;3;0.40109996886508303;599;335.3;0.7391304347826086
21;8;1;0.42765399124879383;599;334.68;0.4782608695652174
22;8;2;0.32276168895725665;599;335.23;0.6086956521739131
23;8;3;0.3828588516913013;599;334.57;0.6086956521739131
24;9;1;0.3891239771308082;599;334.63;0.6521739130434783
25;9;2;0.2957610105509089;599;333.33;0.6521739130434783
26;9;3;0.29361636758630716;599;335.56;0.6521739130434783
27;10;1;0.3370574938869583;599;334.98;0.6956521739130435
28;10;2;0.36474952206389827;599;335.21;0.7391304347826086
29;10;3;0.3250036582093397;599;335.12;0.6956521739130435
