;Fold;Execution;MSE;Epochs;Time;Accuracy
count;30.0;30.0;30.0;30.0;30.0;30.0
mean;5.5;2.0;0.5524268571346715;599.0;248.71300000000002;0.5434782608695652
std;2.9213837061606083;0.8304547985373997;0.07019617666423662;0.0;64.67450049925075;0.10067887678014306
min;1.0;1.0;0.42010104687807065;599.0;185.09;0.34782608695652173
25%;3.0;1.0;0.5141209752319442;599.0;188.9925;0.4782608695652174
50%;5.5;2.0;0.5553353420295035;599.0;232.82999999999998;0.5652173913043478
75%;8.0;3.0;0.5938028972533731;599.0;325.07500000000005;0.6086956521739131
max;10.0;3.0;0.7160642578123461;599.0;343.8;0.7391304347826086
